img_1,img_2,label,dir
15.jpg,16.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-167-annotation-119-by-1-tag-deforest-0.png,10005_1
16.jpg,17.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-168-annotation-120-by-1-tag-deforest-0.png,10005_1
17.jpg,18.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-169-annotation-121-by-1-tag-deforest-0.png,10005_1
18.jpg,19.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-171-annotation-123-by-1-tag-deforest-0.png,10005_1
19.jpg,20.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-172-annotation-124-by-1-tag-deforest-0.png,10005_1
20.jpg,21.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-173-annotation-125-by-1-tag-deforest-0.png,10005_1
21.jpg,22.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-174-annotation-126-by-1-tag-deforest-0.png,10005_1
22.jpg,23.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-174-annotation-126-by-1-tag-deforest-1.png,10005_1
23.jpg,24.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-175-annotation-127-by-1-tag-deforest-0.png,10005_1
24.jpg,25.jpg,10005_1\project-10-at-2023-11-11-20-30-ad95c418\task-176-annotation-128-by-1-tag-deforest-0.png,10005_1
0.jpg,1.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-177-annotation-129-by-1-tag-deforest-0.png,10005_2
1.jpg,2.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-178-annotation-130-by-1-tag-deforest-0.png,10005_2
2.jpg,3.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-179-annotation-131-by-1-tag-deforest-0.png,10005_2
3.jpg,4.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-180-annotation-132-by-1-tag-deforest-0.png,10005_2
4.jpg,5.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-181-annotation-133-by-1-tag-deforest-0.png,10005_2
5.jpg,7.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-183-annotation-134-by-1-tag-deforest-0.png,10005_2
7.jpg,8.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-184-annotation-135-by-1-tag-deforest-0.png,10005_2
8.jpg,9.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-185-annotation-136-by-1-tag-deforest-0.png,10005_2
9.jpg,10.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-186-annotation-137-by-1-tag-deforest-0.png,10005_2
10.jpg,11.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-187-annotation-138-by-1-tag-deforest-0.png,10005_2
11.jpg,12.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-188-annotation-139-by-1-tag-deforest-0.png,10005_2
12.jpg,13.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-189-annotation-140-by-1-tag-deforest-0.png,10005_2
13.jpg,15.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-191-annotation-141-by-1-tag-deforest-0.png,10005_2
15.jpg,16.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-192-annotation-142-by-1-tag-deforest-0.png,10005_2
16.jpg,17.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-193-annotation-143-by-1-tag-deforest-0.png,10005_2
17.jpg,21.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-197-annotation-144-by-1-tag-deforest-0.png,10005_2
21.jpg,23.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-199-annotation-145-by-1-tag-deforest-0.png,10005_2
23.jpg,24.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-200-annotation-146-by-1-tag-deforest-0.png,10005_2
24.jpg,25.jpg,10005_2\project-11-at-2023-11-11-21-17-6e5fb063\task-201-annotation-147-by-1-tag-deforest-0.png,10005_2
0.jpg,1.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-202-annotation-148-by-1-tag-deforest-0.png,10007_1
1.jpg,2.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-203-annotation-149-by-1-tag-deforest-0.png,10007_1
2.jpg,5.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-206-annotation-150-by-1-tag-deforest-0.png,10007_1
5.jpg,6.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-207-annotation-151-by-1-tag-deforest-0.png,10007_1
6.jpg,7.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-208-annotation-152-by-1-tag-deforest-0.png,10007_1
7.jpg,10.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-211-annotation-153-by-1-tag-deforest-0.png,10007_1
10.jpg,11.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-212-annotation-154-by-1-tag-deforest-0.png,10007_1
11.jpg,12.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-213-annotation-155-by-1-tag-deforest-0.png,10007_1
12.jpg,14.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-215-annotation-156-by-1-tag-deforest-0.png,10007_1
14.jpg,15.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-216-annotation-157-by-1-tag-deforest-0.png,10007_1
15.jpg,22.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-223-annotation-158-by-1-tag-deforest-0.png,10007_1
22.jpg,23.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-224-annotation-159-by-1-tag-deforest-0.png,10007_1
23.jpg,24.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-225-annotation-160-by-1-tag-deforest-0.png,10007_1
24.jpg,25.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-226-annotation-161-by-1-tag-deforest-0.png,10007_1
25.jpg,27.jpg,10007_1\project-12-at-2023-11-11-22-40-f16af5af\task-228-annotation-162-by-1-tag-deforest-0.png,10007_1
0.jpg,1.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-280-annotation-163-by-1-tag-deforest-0.png,10009_0
1.jpg,2.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-281-annotation-164-by-1-tag-deforest-0.png,10009_0
2.jpg,3.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-282-annotation-165-by-1-tag-deforest-0.png,10009_0
3.jpg,4.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-283-annotation-166-by-1-tag-deforest-0.png,10009_0
4.jpg,5.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-284-annotation-167-by-1-tag-deforest-0.png,10009_0
5.jpg,6.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-285-annotation-168-by-1-tag-deforest-0.png,10009_0
6.jpg,7.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-286-annotation-169-by-1-tag-deforest-0.png,10009_0
7.jpg,8.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-287-annotation-170-by-1-tag-deforest-0.png,10009_0
8.jpg,9.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-288-annotation-171-by-1-tag-deforest-0.png,10009_0
9.jpg,10.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-289-annotation-172-by-1-tag-deforest-0.png,10009_0
10.jpg,11.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-290-annotation-173-by-1-tag-deforest-0.png,10009_0
11.jpg,12.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-291-annotation-174-by-1-tag-deforest-0.png,10009_0
12.jpg,13.jpg,10009_0\project-15-at-2023-11-12-09-35-34af105d\task-292-annotation-175-by-1-tag-deforest-0.png,10009_0
6.jpg,8.jpg,10009_1\project-16-at-2023-11-12-09-45-94f3593f\task-300-annotation-176-by-1-tag-deforest-0.png,10009_1
8.jpg,9.jpg,10009_1\project-16-at-2023-11-12-09-45-94f3593f\task-301-annotation-177-by-1-tag-deforest-0.png,10009_1
9.jpg,10.jpg,10009_1\project-16-at-2023-11-12-09-45-94f3593f\task-302-annotation-178-by-1-tag-deforest-0.png,10009_1
10.jpg,11.jpg,10009_1\project-16-at-2023-11-12-09-45-94f3593f\task-303-annotation-179-by-1-tag-deforest-0.png,10009_1
11.jpg,12.jpg,10009_1\project-16-at-2023-11-12-09-45-94f3593f\task-304-annotation-180-by-1-tag-deforest-0.png,10009_1
12.jpg,13.jpg,10009_1\project-16-at-2023-11-12-09-45-94f3593f\task-305-annotation-181-by-1-tag-deforest-0.png,10009_1
15.jpg,16.jpg,10013_1\project-20-at-2023-11-12-10-03-8e5e0667\task-361-annotation-182-by-1-tag-deforest-0.png,10013_1
16.jpg,17.jpg,10013_1\project-20-at-2023-11-12-10-03-8e5e0667\task-362-annotation-183-by-1-tag-deforest-0.png,10013_1
17.jpg,18.jpg,10013_1\project-20-at-2023-11-12-10-03-8e5e0667\task-363-annotation-184-by-1-tag-deforest-0.png,10013_1
18.jpg,19.jpg,10013_1\project-20-at-2023-11-12-10-03-8e5e0667\task-364-annotation-185-by-1-tag-deforest-0.png,10013_1
19.jpg,20.jpg,10013_1\project-20-at-2023-11-12-10-03-8e5e0667\task-365-annotation-186-by-1-tag-deforest-0.png,10013_1
20.jpg,21.jpg,10013_1\project-20-at-2023-11-12-10-03-8e5e0667\task-366-annotation-187-by-1-tag-deforest-0.png,10013_1
21.jpg,22.jpg,10013_1\project-20-at-2023-11-12-10-03-8e5e0667\task-367-annotation-188-by-1-tag-deforest-0.png,10013_1
9.jpg,10.jpg,10014_1\project-21-at-2023-11-12-10-18-33f829bd\task-369-annotation-189-by-1-tag-deforest-0.png,10014_1
10.jpg,11.jpg,10014_1\project-21-at-2023-11-12-10-18-33f829bd\task-370-annotation-190-by-1-tag-deforest-0.png,10014_1
11.jpg,12.jpg,10014_1\project-21-at-2023-11-12-10-18-33f829bd\task-371-annotation-191-by-1-tag-deforest-0.png,10014_1
12.jpg,13.jpg,10014_1\project-21-at-2023-11-12-10-18-33f829bd\task-372-annotation-192-by-1-tag-deforest-0.png,10014_1
13.jpg,14.jpg,10014_1\project-21-at-2023-11-12-10-18-33f829bd\task-373-annotation-193-by-1-tag-deforest-0.png,10014_1
9.jpg,10.jpg,10014_2\project-22-at-2023-11-12-11-07-66a76568\task-374-annotation-194-by-1-tag-deforest-0.png,10014_2
10.jpg,11.jpg,10014_2\project-22-at-2023-11-12-11-07-66a76568\task-375-annotation-195-by-1-tag-deforest-0.png,10014_2
11.jpg,12.jpg,10014_2\project-22-at-2023-11-12-11-07-66a76568\task-376-annotation-196-by-1-tag-deforest-0.png,10014_2
12.jpg,13.jpg,10014_2\project-22-at-2023-11-12-11-07-66a76568\task-377-annotation-197-by-1-tag-deforest-0.png,10014_2
13.jpg,14.jpg,10014_2\project-22-at-2023-11-12-11-07-66a76568\task-378-annotation-198-by-1-tag-deforest-0.png,10014_2
14.jpg,15.jpg,10019_1\project-23-at-2023-11-12-11-41-9cb73206\task-379-annotation-199-by-1-tag-deforest-0.png,10019_1
